claim,evidence,label,claim_clean,evidence_clean,combined_text
Microglia are an innate immune cell type of the peripheral nervous system.,"Here, we develop a conceptual framework for functions of microglia beyond neuroinflammation and discuss the rich repertoire of signaling and communication motifs in microglia that are critical both in pathology and for the normal physiology of the CNS.",0,microglia innate immune cell type peripheral nervous system,develop conceptual framework function microglia beyond neuroinflammation discus rich repertoire signaling communication motif microglia critical pathology normal physiology cns,microglia innate immune cell type peripheral nervous system develop conceptual framework function microglia beyond neuroinflammation discus rich repertoire signaling communication motif microglia critical pathology normal physiology cns
Migraine with aura is associated with ischemic stroke.,"Additional analyses indicated a significantly higher risk among people who had migraine with aura (2.16, 1.53 to 3.03) compared with people who had migraine without aura (1.23, 0.90 to 1.69; meta-regression for aura status P=0.02).",1,migraine aura associated ischemic stroke,additional analysis indicated significantly higher risk among people migraine aura compared people migraine without aura metaregression aura status p,migraine aura associated ischemic stroke additional analysis indicated significantly higher risk among people migraine aura compared people migraine without aura metaregression aura status p
Migraine with aura is associated with ischemic stroke.,"CONCLUSION Migraine is associated with a twofold increased risk of ischaemic stroke, which is only apparent among people who have migraine with aura.",1,migraine aura associated ischemic stroke,conclusion migraine associated twofold increased risk ischaemic stroke apparent among people migraine aura,migraine aura associated ischemic stroke conclusion migraine associated twofold increased risk ischaemic stroke apparent among people migraine aura
Misunderstandings between doctors and patients can lead to non-adherence.,All the misunderstandings were associated with lack of patients' participation in the consultation in terms of the voicing of expectations and preferences or the voicing of responses to doctors' decisions and actions.,1,misunderstanding doctor patient lead nonadherence,misunderstanding associated lack patient participation consultation term voicing expectation preference voicing response doctor decision action,misunderstanding doctor patient lead nonadherence misunderstanding associated lack patient participation consultation term voicing expectation preference voicing response doctor decision action
Misunderstandings between doctors and patients can lead to non-adherence.,They were all associated with potential or actual adverse outcomes such as non-adherence to treatment.,1,misunderstanding doctor patient lead nonadherence,associated potential actual adverse outcome nonadherence treatment,misunderstanding doctor patient lead nonadherence associated potential actual adverse outcome nonadherence treatment
Mitochondria play a major role in apoptosis.,"Additionally, they participate in intermediary metabolism, calcium signaling, and apoptosis.",1,mitochondrion play major role apoptosis,additionally participate intermediary metabolism calcium signaling apoptosis,mitochondrion play major role apoptosis additionally participate intermediary metabolism calcium signaling apoptosis
Mitochondria play a major role in energy production.,Mitochondria are the primary energy-generating system in most eukaryotic cells.,1,mitochondrion play major role energy production,mitochondrion primary energygenerating system eukaryotic cell,mitochondrion play major role energy production mitochondrion primary energygenerating system eukaryotic cell
Mitochondria play a trivial role in calcium homeostasis.,"Additionally, they participate in intermediary metabolism, calcium signaling, and apoptosis.",0,mitochondrion play trivial role calcium homeostasis,additionally participate intermediary metabolism calcium signaling apoptosis,mitochondrion play trivial role calcium homeostasis additionally participate intermediary metabolism calcium signaling apoptosis
Moderate consumption of candy and chocolate reduces the risk of cardiovascular disease (CVD).,,0,moderate consumption candy chocolate reduces risk cardiovascular disease cvd,,moderate consumption candy chocolate reduces risk cardiovascular disease cvd 
Monoclonal antibody targeting of N-cadherin encourages castration resistance.,"N-cadherin–specific antibodies markedly delayed the time to emergence of castration resistance, markedly affected tumor histology and angiogenesis, and reduced both AKT serine-threonine kinase activity and serum interleukin-8 (IL-8) secretion.",0,monoclonal antibody targeting ncadherin encourages castration resistance,ncadherinspecific antibody markedly delayed time emergence castration resistance markedly affected tumor histology angiogenesis reduced akt serinethreonine kinase activity serum interleukin il secretion,monoclonal antibody targeting ncadherin encourages castration resistance ncadherinspecific antibody markedly delayed time emergence castration resistance markedly affected tumor histology angiogenesis reduced akt serinethreonine kinase activity serum interleukin il secretion
Monoclonal antibody targeting of N-cadherin encourages metastasis.,"In vivo, these antibodies slowed the growth of multiple established CRPC xenografts, blocked local invasion and metastasis and, at higher doses, led to complete regression.",0,monoclonal antibody targeting ncadherin encourages metastasis,vivo antibody slowed growth multiple established crpc xenograft blocked local invasion metastasis higher dos led complete regression,monoclonal antibody targeting ncadherin encourages metastasis vivo antibody slowed growth multiple established crpc xenograft blocked local invasion metastasis higher dos led complete regression
Monoclonal antibody targeting of N-cadherin encourages metastasis.,Therapeutic targeting of this factor with monoclonal antibodies may have considerable clinical benefit.,0,monoclonal antibody targeting ncadherin encourages metastasis,therapeutic targeting factor monoclonal antibody may considerable clinical benefit,monoclonal antibody targeting ncadherin encourages metastasis therapeutic targeting factor monoclonal antibody may considerable clinical benefit
Monoclonal antibody targeting of N-cadherin inhibits castration resistance.,"N-cadherin–specific antibodies markedly delayed the time to emergence of castration resistance, markedly affected tumor histology and angiogenesis, and reduced both AKT serine-threonine kinase activity and serum interleukin-8 (IL-8) secretion.",1,monoclonal antibody targeting ncadherin inhibits castration resistance,ncadherinspecific antibody markedly delayed time emergence castration resistance markedly affected tumor histology angiogenesis reduced akt serinethreonine kinase activity serum interleukin il secretion,monoclonal antibody targeting ncadherin inhibits castration resistance ncadherinspecific antibody markedly delayed time emergence castration resistance markedly affected tumor histology angiogenesis reduced akt serinethreonine kinase activity serum interleukin il secretion
